;topic;StyleID;id;topic_safe
9659;schlicht;553018;1956;schlicht
9660;hell;44970574;1957;hell
9661;sollen;655046;1958;sollen
9662;okay;434886;1959;okay
9663;sitzt;654563;196;sitzt
9664;material;654563;1960;material
9665;schöne;44970574;1961;schoene
9666;bund;44970574;1962;bund
9667;farbe;654563;1963;farbe
9668;schwierig;655046;1964;schwierig
9669;passgenau;553018;1965;passgenau
9670;unterwäsche;515928;1966;unterwaesche
9671;paßt;8623725;1967;passt
9672;passform;1709054;1969;passform
9673;grün;9743730;197;gruen
9674;sitzen;655046;1970;sitzen
9675;teil;709229;1971;teil
9676;stoff;434886;1972;stoff
9677;qualität;515928;1973;qualitaet
9678;beschreiben;9743730;1974;beschreiben
9679;gute;434886;1975;gute
9680;farbe;44970574;1976;farbe
9681;farb;1709054;1977;farb
9682;eher;9743730;1978;eher
9683;passform;654563;1979;passform
9684;wunderbare;709229;198;wunderbare
9685;passen;1709054;1980;passen
9686;qualität;434886;1981;qualitaet
9687;großzügigen;1709054;1982;grosszuegigen
9688;sitz;654563;1983;sitz
9689;farbe;9743730;1984;farbe
9690;oft;1709054;1985;oft
9691;material;515928;1986;material
9692;supermatrial;8623725;1987;supermatrial
9693;passend;515928;1988;passend
9694;guter;515928;1989;guter
9695;rezension;1709054;199;rezension
9696;tolle;553018;1990;tolle
9697;süß;709229;1991;suess
9698;richtig;515928;1992;richtig
9699;qualität;654563;1993;qualitaet
9700;sitzen;655046;1994;sitzen
9701;schöner;709229;1995;schoener
9702;passen;434886;1996;passen
9703;farbe;1709054;1997;farbe
9704;form;515928;1998;form
9705;passen;553018;1999;passen
9706;lässt;8623725;2;laesst
9707;material;515928;20;material
9708;material;515928;200;material
9709;einfaches;709229;2000;einfaches
9710;material;515928;2001;material
9711;passform;434886;2002;passform
9712;schönes;709229;2003;schoenes
9713;sitz;655046;2004;sitz
9714;baumwollshirt;1709054;2005;baumwollshirt
9715;bequem;655046;2006;bequem
9716;klasse;515928;2007;klasse
9717;creme;9743730;2008;creme
9718;eng;553018;2009;eng
9719;paßform;8623725;201;passform
9720;preis;553018;2011;preis
9721;gerne;515928;2012;gerne
9722;schöne;44970574;2013;schoene
9723;ware;9743730;2014;ware
9724;tolle;1709054;2015;tolle
9725;material;8623725;2016;material
9726;freundin;8623725;2017;freundin
9727;witz;709229;2018;witz
9728;sitzen;8623725;2019;sitzen
9729;stabilisierend;655046;202;stabilisierend
9730;umspielt;709229;2020;umspielt
9731;wunderbar;515928;2021;wunderbar
9732;qualität;434886;2023;qualitaet
9733;bequem;655046;2024;bequem
9734;isen;434886;2025;isen
9735;bequem;515928;2026;bequem
9736;groß;44970574;2027;gross
9737;top;9743730;2028;top
9738;vorstellung;434886;2029;vorstellung
9739;schnell;515928;203;schnell
9740;materieal;553018;2030;materieal
9741;beanstandung;434886;2031;beanstandung
9742;kurz;434886;2032;kurz
9743;sitzen;655046;2033;sitzen
9744;petrol;44970574;2034;petrol
9745;gummi;8623725;2036;gummi
9746;größe;8623725;2037;groesse
9747;prima;553018;2038;prima
9748;material;44970574;2039;material
9749;aussehen;553018;204;aussehen
9750;joggen;655046;2040;joggen
9751;absolut;9743730;2041;absolut
9752;material;44970574;2042;material
9753;hitze;655046;2043;hitze
9754;voll;9743730;2045;voll
9755;ausziehen;8623725;2046;ausziehen
9756;erst;655046;2047;erst
9757;passform;655046;2048;passform
9758;sitzen;515928;2049;sitzen
9759;angenehm;709229;205;angenehm
9760;passen;654563;2050;passen
9761;weiß;44970574;2051;weiss
9762;material;654563;2052;material
9763;stoff;9743730;2053;stoff
9764;schöne;1709054;2054;schoene
9765;qualität;553018;2055;qualitaet
9766;grösse;1709054;2056;groesse
9767;hallo;434886;2057;hallo
9768;tragen;654563;2058;tragen
9769;ersatzfarbe;44970574;2059;ersatzfarbe
9770;groß;44970574;206;gross
9771;passt;515928;2060;passt
9772;ware;8623725;2061;ware
9773;ware;655046;2062;ware
9774;qualität;709229;2063;qualitaet
9775;material;515928;2064;material
9776;preisleistungsverhältnis;655046;2065;preisleistungsverhaeltnis
9777;klass;655046;2066;klass
9778;schnell;434886;2067;schnell
9779;qualität;553018;2068;qualitaet
9780;top;1709054;207;top
9781;bestelle;553018;2070;bestelle
9782;ware;654563;2071;ware
9783;orang;9743730;2072;orang
9784;finden;553018;2073;finden
9785;preis;553018;2074;preis
9786;top;434886;2075;top
9787;größe;654563;2076;groesse
9788;angenehm;655046;2077;angenehm
9789;sitzen;655046;2078;sitzen
9790;sitz;655046;2079;sitz
9791;waschen;1709054;208;waschen
9792;hoch;515928;2080;hoch
9793;verdunklung;9743730;2081;verdunklung
9794;kleidchen;709229;2082;kleidchen
9795;material;434886;2083;material
9796;voll;9743730;2084;voll
9797;farbe;1709054;2085;farbe
9798;modisch;44970574;2086;modisch
9799;dunkeln;9743730;2087;dunkeln
9800;finden;654563;2088;finden
9801;hebt;8623725;2089;hebt
9802;hübscher;553018;209;huebscher
9803;stretchhose;44970574;2090;stretchhose
9804;geben;655046;2091;geben
9805;bestellt;434886;2092;bestellt
9806;hell;9743730;2093;hell
9807;material;515928;2094;material
9808;stützen;655046;2095;stuetzen
9809;luftig;709229;2096;luftig
9810;passform;553018;2097;passform
9811;sitzen;44970574;2098;sitzen
9812;sitzend;654563;2099;sitzend
9813;material;1709054;21;material
9814;tragen;553018;210;tragen
9815;sitzen;44970574;2100;sitzen
9816;passen;1709054;2101;passen
9817;bequem;553018;2102;bequem
9818;versprechen;655046;2103;versprechen
9819;passform;654563;2104;passform
9820;ware;9743730;2105;ware
9821;preis;434886;2106;preis
9822;farbe;9743730;2107;farbe
9823;schade;654563;2108;schade
9824;jahr;434886;2109;jahr
9825;passen;553018;211;passen
9826;eng;44970574;2111;eng
9827;material;515928;2112;material
9828;stoff;9743730;2113;stoff
9829;verdunklung;9743730;2114;verdunklung
9830;material;655046;2115;material
9831;material;8623725;2116;material
9832;sitz;654563;2117;sitz
9833;klein;654563;2118;klein
9834;versprechen;9743730;2119;versprechen
9835;gefreut;1709054;212;gefreut
9836;beschreiben;9743730;2120;beschreiben
9837;blau;434886;2121;blau
9838;angenehm;553018;2122;angenehm
9839;angenehm;44970574;2123;angenehm
9840;farbe;515928;2124;farbe
9841;größ;434886;2125;groess
9842;verdunkelungs;9743730;2126;verdunkelungs
9843;prima;8623725;2127;prima
9844;passform;44970574;2128;passform
9845;sitzen;655046;2129;sitzen
9846;qualitaet;9743730;213;qualitaet
9847;sitzen;709229;2130;sitzen
9848;passt;655046;2131;passt
9849;eigentlich;654563;2132;eigentlich
9850;schicke;654563;2133;schicke
9851;kauf;9743730;2134;kauf
9852;geschmeidig;44970574;2135;geschmeidig
9853;passt;655046;2137;passt
9854;qualität;434886;2138;qualitaet
9855;material;655046;2139;material
9856;top;655046;214;top
9857;klasse;655046;2140;klasse
9858;vorn;709229;2141;vorn
9859;passen;44970574;2142;passen
9860;ware;655046;2143;ware
9861;material;654563;2144;material
9862;prima;655046;2145;prima
9863;qualität;709229;2147;qualitaet
9864;verdunkelung;9743730;2148;verdunkelung
9865;erster;434886;2149;erster
9866;klei;709229;215;klei
9867;cremefarb;9743730;2151;cremefarb
9868;preis;434886;2153;preis
9869;größe;434886;2154;groesse
9870;passform;8623725;2155;passform
9871;weit;1709054;2157;weit
9872;niedlich;709229;2158;niedlich
9873;sitzen;655046;2159;sitzen
9874;beurteilen;553018;216;beurteilen
9875;bequem;553018;2160;bequem
9876;material;44970574;2161;material
9877;find;709229;2162;find
9878;brustpartie;8623725;2163;brustpartie
9879;spitze;8623725;2164;spitze
9880;fallen;553018;2165;fallen
9881;frau;655046;2166;frau
9882;weit;709229;2167;weit
9883;qualität;655046;2168;qualitaet
9884;sitzen;434886;2169;sitzen
9885;schwarz;709229;217;schwarz
9886;körbchen;8623725;2170;koerbchen
9887;qualität;654563;2171;qualitaet
9888;material;9743730;2172;material
9889;farbe;553018;2173;farbe
9890;begeistert;434886;2174;begeistert
9891;passform;654563;2175;passform
9892;suuuupppper;553018;2176;suuuupppper
9893;zurückschicken;44970574;2177;zurueckschicken
9894;preis;553018;2178;preis
9895;farbauswahl;515928;2179;farbauswahl
9896;angenehm;44970574;218;angenehm
9897;schlank;8623725;2180;schlank
9898;material;434886;2181;material
9899;kurz;709229;2182;kurz
9900;katalog;8623725;2183;katalog
9901;qualität;434886;2184;qualitaet
9902;qualität;654563;2185;qualitaet
9903;heute;9743730;2186;heute
9904;lang;8623725;2187;lang
9905;insgesamt;434886;2188;insgesamt
9906;früh;434886;2189;frueh
9907;schnitt;434886;219;schnitt
9908;toller;655046;2190;toller
9909;waschen;1709054;2191;waschen
9910;toller;515928;2192;toller
9911;preiswert;434886;2194;preiswert
9912;schönes;515928;2195;schoenes
9913;hos;44970574;2196;hos
9914;sollen;655046;2197;sollen
9915;qualität;1709054;2198;qualitaet
9916;sitzt;655046;2199;sitzt
9917;elastisch;515928;22;elastisch
9918;erstmalig;553018;220;erstmalig
9919;material;44970574;2201;material
9920;größe;434886;2202;groesse
9921;qualität;434886;2203;qualitaet
9922;bereits;9743730;2204;bereits
9923;material;654563;2205;material
9924;reichen;9743730;2206;reichen
9925;träger;654563;2207;traeger
9926;katalog;515928;2208;katalog
9927;angenehm;654563;2209;angenehm
9928;verarbeiten;515928;221;verarbeiten
9929;passform;655046;2210;passform
9930;qualität;434886;2211;qualitaet
9931;bewährt;434886;2212;bewaehrt
9932;stoff;9743730;2213;stoff
9933;insgesamt;434886;2214;insgesamt
9934;deko;9743730;2215;deko
9935;ensprichen;655046;2216;ensprichen
9936;endlich;553018;2217;endlich
9937;farbe;515928;2218;farbe
9938;material;709229;2219;material
9939;insgesamt;44970574;222;insgesamt
9940;gemütlich;654563;2220;gemuetlich
9941;angenehm;655046;2221;angenehm
9942;verarbeiten;655046;2222;verarbeiten
9943;qualität;1709054;2223;qualitaet
9944;bestellte;553018;2224;bestellte
9945;schnell;9743730;2225;schnell
9946;jippie;553018;2226;jippie
9947;basic;1709054;2227;basic
9948;groß;8623725;2228;gross
9949;sitzen;655046;2229;sitzen
9950;tolles;709229;223;tolles
9951;lächerlich;655046;2231;laecherlich
9952;fast;655046;2232;fast
9953;erster;434886;2233;erster
9954;schicken;553018;2234;schicken
9955;b;655046;2235;b
9956;tolle;553018;2236;tolle
9957;bestelle;654563;2237;bestelle
9958;fallen;553018;2238;fallen
9959;weit;1709054;2239;weit
9960;eigentlich;1709054;224;eigentlich
9961;cups;654563;2240;cups
9962;wunderbare;655046;2241;wunderbare
9963;blickdicht;9743730;2242;blickdicht
9964;kaufte;709229;2243;kaufte
9965;sitzen;654563;2244;sitzen
9966;verdunklungsschals;9743730;2245;verdunklungsschals
9967;material;654563;2246;material
9968;passen;654563;2247;passen
9969;bequem;654563;2248;bequem
9970;material;655046;2249;material
9971;echt;515928;225;echt
9972;schwierig;654563;2250;schwierig
9973;preis;553018;2251;preis
9974;supertoller;515928;2252;supertoller
9975;preis;9743730;2253;preis
9976;tag;434886;2254;tag
9977;passt;553018;2255;passt
9978;passform;1709054;2256;passform
9979;frisch;9743730;2257;frisch
9980;stretchkleid;709229;2258;stretchkleid
9981;passform;655046;2259;passform
9982;kommen;709229;226;kommen
9983;prima;515928;2261;prima
9984;sitz;553018;2262;sitz
9985;sitzen;655046;2263;sitzen
9986;passen;434886;2264;passen
9987;preis;553018;2265;preis
9988;total;553018;2266;total
9989;marterial;1709054;2267;marterial
9990;material;9743730;2268;material
9991;schöne;1709054;2269;schoene
9992;kombinierbar;709229;227;kombinierbar
9993;fallen;709229;2271;fallen
9994;fühlen;9743730;2272;fuehlen
9995;gute;434886;2273;gute
9996;passt;654563;2274;passt
9997;auftrag;8623725;2275;auftrag
9998;olivgrün;44970574;2276;olivgruen
9999;sitzen;654563;2277;sitzen
10000;schnell;654563;2278;schnell
10001;größe;709229;228;groesse
10002;sollen;655046;2280;sollen
10003;sitzen;654563;2281;sitzen
10004;material;709229;2282;material
10005;preis;515928;2283;preis
10006;farbe;1709054;2284;farbe
10007;material;515928;2285;material
10008;schöne;553018;2286;schoene
10009;qualität;44970574;2287;qualitaet
10010;material;44970574;2288;material
10011;farbe;9743730;2289;farbe
10012;letzter;434886;229;letzter
10013;fallen;553018;2290;fallen
10014;passt;655046;2291;passt
10015;material;655046;2292;material
10016;qualität;655046;2293;qualitaet
10017;fallen;655046;2294;fallen
10018;fest;655046;2295;fest
10019;schlecht;8623725;2296;schlecht
10020;preis;1709054;2297;preis
10021;sitzen;655046;2298;sitzen
10022;prima;1709054;2299;prima
10023;qualität;655046;23;qualitaet
10024;tolles;709229;230;tolles
10025;gr;553018;2300;gr
10026;passt;654563;2301;passt
10027;alltag;654563;2302;alltag
10028;qualität;9743730;2303;qualitaet
10029;stoff;434886;2304;stoff
10030;balerinas;553018;2305;balerinas
10031;farbe;654563;2306;farbe
10032;bieten;655046;2307;bieten
10033;optimal;654563;2308;optimal
10034;modell;8623725;231;modell
10035;oben;709229;2310;oben
10036;top;553018;2311;top
10037;blickdichen;9743730;2312;blickdichen
10038;ware;1709054;2313;ware
10039;groß;655046;2314;gross
10040;material;515928;2315;material
10041;passen;9743730;2317;passen
10042;schreiben;553018;2318;schreiben
10043;sitzen;434886;2319;sitzen
10044;bequem;553018;232;bequem
10045;schönes;709229;2320;schoenes
10046;orang;9743730;2322;orang
10047;erster;1709054;2323;erster
10048;preisgünstig;654563;2324;preisguenstig
10049;material;9743730;2325;material
10050;eher;654563;2326;eher
10051;kommen;44970574;2327;kommen
10052;schuhe;553018;2328;schuhe
10053;sitzen;654563;2329;sitzen
10054;passform;44970574;233;passform
10055;fallen;515928;2330;fallen
10056;schwangeren;654563;2331;schwangeren
10057;rückenteil;654563;2332;rueckenteil
10058;hervorragend;709229;2333;hervorragend
10059;qualität;434886;2334;qualitaet
10060;schöne;44970574;2335;schoene
10061;chic;553018;2336;chic
10062;slips;515928;2337;slips
10063;material;709229;2338;material
10064;farbe;9743730;2339;farbe
10065;qualität;515928;234;qualitaet
10066;material;553018;2340;material
10067;größe;1709054;2341;groesse
10068;günstig;434886;2342;guenstig
10069;farbe;515928;2343;farbe
10070;größe;434886;2344;groesse
10071;schöne;9743730;2345;schoene
10072;träger;654563;2346;traeger
10073;perfekter;654563;2347;perfekter
10074;material;654563;2349;material
10075;qualität;9743730;235;qualitaet
10076;normalerweise;553018;2351;normalerweise
10077;farb;654563;2352;farb
10078;passt;8623725;2353;passt
10079;material;9743730;2354;material
10080;recht;1709054;2355;recht
10081;tragekomfort;654563;2356;tragekomfort
10082;material;1709054;2357;material
10083;gesamt;44970574;2358;gesamt
10084;voll;553018;2359;voll
10085;luftiges;709229;236;luftiges
10086;matrial;434886;2360;matrial
10087;trägt;44970574;2361;traegt
10088;schade;654563;2362;schade
10089;sitzen;655046;2363;sitzen
10090;positiv;655046;2365;positiv
10091;blaue;44970574;2366;blaue
10092;qualität;654563;2367;qualitaet
10093;völlig;553018;2368;voellig
10094;tips;553018;2369;tips
10095;sitzt;709229;237;sitzt
10096;hausgebrauch;1709054;2370;hausgebrauch
10097;blickdichen;9743730;2371;blickdichen
10098;größe;553018;2372;groesse
10099;klein;553018;2373;klein
10100;material;553018;2374;material
10101;farbe;9743730;2375;farbe
10102;leistungsverhältnis;515928;2376;leistungsverhaeltnis
10103;bestens;434886;2377;bestens
10104;passt;1709054;2378;passt
10105;angenehmes;655046;2379;angenehmes
10106;sollen;553018;238;sollen
10107;gute;553018;2380;gute
10108;bequem;553018;2381;bequem
10109;tolle;44970574;2382;tolle
10110;ware;9743730;2383;ware
10111;hinten;655046;2384;hinten
10112;gerne;9743730;2386;gerne
10113;material;9743730;2387;material
10114;raum;9743730;2388;raum
10115;brustumfang;655046;2389;brustumfang
10116;öse;9743730;239;oese
10117;bequeme;553018;2391;bequeme
10118;tochter;553018;2392;tochter
10119;qualität;655046;2393;qualitaet
10120;sitzt;655046;2395;sitzt
10121;woche;553018;2396;woche
10122;beguemen;553018;2397;beguemen
10123;müssen;654563;2398;muessen
10124;farbe;515928;2399;farbe
10125;material;8623725;24;material
10126;hervorragend;654563;240;hervorragend
10127;preis;553018;2400;preis
10128;leistungsverhältnis;434886;2401;leistungsverhaeltnis
10129;größe;434886;2402;groesse
10130;passen;434886;2403;passen
10131;schönes;709229;2404;schoenes
10132;passt;44970574;2405;passt
10133;total;655046;2406;total
10134;total;655046;2407;total
10135;schönes;553018;2408;schoenes
10136;farbe;9743730;2409;farbe
10137;erst;8623725;241;erst
10138;material;434886;2410;material
10139;eng;44970574;2411;eng
10140;preis;1709054;2412;preis
10141;groß;709229;2413;gross
10142;preis;655046;2414;preis
10143;günstig;1709054;2415;guenstig
10144;passen;654563;2416;passen
10145;genaue;553018;2417;genaue
10146;bestens;9743730;2418;bestens
10147;günstiger;654563;2419;guenstiger
10148;ja;515928;242;ja
10149;sitz;515928;2420;sitz
10150;unschlagbar;553018;2421;unschlagbar
10151;kind;9743730;2422;kind
10152;abdunklung;9743730;2423;abdunklung
10153;genial;434886;2424;genial
10154;verlieb;709229;2425;verlieb
10155;schwarz;553018;2426;schwarz
10156;zweck;655046;2427;zweck
10157;passt;655046;2428;passt
10158;hallo;654563;2429;hallo
10159;qualität;9743730;243;qualitaet
10160;gardinen;9743730;2430;gardinen
10161;material;655046;2431;material
10162;erster;44970574;2432;erster
10163;eng;553018;2433;eng
10164;angemessen;553018;2434;angemessen
10165;dunkelblau;709229;2435;dunkelblau
10166;schwarz;8623725;2436;schwarz
10167;gleich;709229;2437;gleich
10168;angenehmer;709229;2438;angenehmer
10169;schöne;1709054;2439;schoene
10170;material;8623725;244;material
10171;erfahrung;44970574;2440;erfahrung
10172;passt;553018;2441;passt
10173;absolutes;709229;2442;absolutes
10174;preis;44970574;2443;preis
10175;material;1709054;2444;material
10176;preis;553018;2445;preis
10177;schöner;515928;2446;schoener
10178;farbe;709229;2447;farbe
10179;nett;709229;2448;nett
10180;reißverschluß;434886;2449;reissverschluss
10181;material;44970574;245;material
10182;material;515928;2450;material
10183;schöner;655046;2451;schoener
10184;fallen;655046;2452;fallen
10185;tolles;44970574;2453;tolles
10186;qualität;9743730;2454;qualitaet
10187;material;655046;2455;material
10188;tolle;553018;2456;tolle
10189;ware;9743730;2457;ware
10190;endlich;1709054;2458;endlich
10191;begeistert;709229;2459;begeistert
10192;schritt;8623725;246;schritt
10193;gute;654563;2460;gute
10194;hos;434886;2461;hos
10195;passform;44970574;2462;passform
10196;bequem;434886;2463;bequem
10197;teuer;9743730;2464;teuer
10198;arbeit;1709054;2465;arbeit
10199;material;655046;2466;material
10200;topen;434886;2467;topen
10201;ideal;1709054;2468;ideal
10202;material;709229;2469;material
10203;farbe;553018;247;farbe
10204;teil;709229;2470;teil
10205;material;515928;2471;material
10206;genial;553018;2472;genial
10207;qualität;709229;2473;qualitaet
10208;passen;515928;2474;passen
10209;material;515928;2475;material
10210;farbe;44970574;2476;farbe
10211;bequem;553018;2477;bequem
10212;matrial;9743730;2478;matrial
10213;verarbeitung;654563;2479;verarbeitung
10214;groß;553018;248;gross
10215;ringen;9743730;2480;ringen
10216;finden;553018;2481;finden
10217;absolut;553018;2482;absolut
10218;gute;553018;2483;gute
10219;passt;655046;2484;passt
10220;grüßen;9743730;2485;gruessen
10221;material;434886;2486;material
10222;lange;654563;2487;lange
10223;blockstreifen;709229;2488;blockstreifen
10224;material;515928;2489;material
10225;passt;553018;249;passt
10226;finden;553018;2490;finden
10227;spitze;9743730;2492;spitze
10228;hauptsächlich;1709054;2493;hauptsaechlich
10229;qualität;434886;2494;qualitaet
10230;kurz;44970574;2495;kurz
10231;passform;44970574;2496;passform
10232;hübsch;44970574;2497;huebsch
10233;qualität;515928;2498;qualitaet
10234;schöner;9743730;2499;schoener
10235;passend;515928;25;passend
10236;qualität;553018;250;qualitaet
10237;material;655046;2500;material
10238;blau;9743730;2501;blau
10239;qualität;1709054;2502;qualitaet
10240;sach;434886;2503;sach
10241;passt;655046;2505;passt
10242;lange;9743730;2506;lange
10243;top;709229;2507;top
10244;weite;44970574;2508;weite
10245;qualität;9743730;2509;qualitaet
10246;sagen;1709054;2510;sagen
10247;passform;553018;2511;passform
10248;freundin;553018;2512;freundin
10249;material;654563;2513;material
10250;passt;434886;2514;passt
10251;preisleistungsverhältnis;709229;2515;preisleistungsverhaeltnis
10252;angenehm;654563;2516;angenehm
10253;schöne;44970574;2518;schoene
10254;passen;434886;2519;passen
10255;sexy;515928;252;sexy
10256;passt;1709054;2520;passt
10257;tragen;515928;2521;tragen
10258;sitzen;515928;2522;sitzen
10259;grün;9743730;2523;gruen
10260;verdunkelt;9743730;2524;verdunkelt
10261;blickdicht;9743730;2526;blickdicht
10262;material;434886;2527;material
10263;gleich;1709054;2528;gleich
10264;bequem;553018;2529;bequem
10265;vorstellen;1709054;253;vorstellen
10266;furchtbarer;44970574;2530;furchtbarer
10267;weiß;553018;2531;weiss
10268;knapp;654563;2532;knapp
10269;öse;9743730;2533;oese
10270;bestelle;654563;2534;bestelle
10271;prompte;8623725;2535;prompte
10272;teil;515928;2536;teil
10273;passte;8623725;2537;passte
10274;fast;515928;2538;fast
10275;stimmen;655046;2539;stimmen
10276;bequem;1709054;254;bequem
10277;schöner;655046;2540;schoener
10278;material;654563;2541;material
10279;fenst;9743730;2542;fenst
10280;qualität;9743730;2543;qualitaet
10281;umfang;654563;2544;umfang
10282;farbe;9743730;2545;farbe
10283;tragen;553018;2546;tragen
10284;fast;553018;2547;fast
10285;material;655046;2548;material
10286;angenehmes;44970574;2549;angenehmes
10287;material;8623725;255;material
10288;passt;44970574;2550;passt
10289;material;654563;2551;material
10290;schlecht;434886;2552;schlecht
10291;farbe;9743730;2554;farbe
10292;stimmen;515928;2555;stimmen
10293;einwandfreies;655046;2556;einwandfreies
10294;preis;553018;2557;preis
10295;paket;434886;256;paket
10296;ordnungsgemäß;655046;2560;ordnungsgemaess
10297;mögen;515928;2561;moegen
10298;formen;654563;2562;formen
10299;schmalten;553018;2563;schmalten
10300;passform;44970574;2564;passform
10301;qualität;434886;2565;qualitaet
10302;passte;434886;2566;passte
10303;stoffqualität;655046;2567;stoffqualitaet
10304;endlich;9743730;2568;endlich
10305;passform;655046;257;passform
10306;überlegen;9743730;2570;ueberlegen
10307;verdunkelungsvorhang;9743730;2571;verdunkelungsvorhang
10308;qualität;1709054;2572;qualitaet
10309;gleich;9743730;2573;gleich
10310;preis;1709054;2574;preis
10311;verarbeitung;434886;2575;verarbeitung
10312;abbildung;553018;2576;abbildung
10313;qualität;9743730;2577;qualitaet
10314;tolle;654563;2578;tolle
10315;qualität;434886;258;qualitaet
10316;tragen;655046;2580;tragen
10317;material;654563;2581;material
10318;beige;9743730;2582;beige
10319;dunkelblau;709229;2583;dunkelblau
10320;problem;434886;2584;problem
10321;richtig;44970574;2585;richtig
10322;kleidchen;709229;2586;kleidchen
10323;mehrmals;434886;2587;mehrmals
10324;gr;44970574;2589;gr
10325;sitzen;515928;259;sitzen
10326;total;9743730;2590;total
10327;tragen;654563;2591;tragen
10328;farbe;553018;2592;farbe
10329;stoff;9743730;2593;stoff
10330;qualität;1709054;2594;qualitaet
10331;lassen;434886;2595;lassen
10332;farbe;9743730;2596;farbe
10333;material;515928;2597;material
10334;tragen;654563;2599;tragen
10335;material;8623725;26;material
10336;schad;434886;260;schad
10337;schnitt;515928;2600;schnitt
10338;bequem;655046;2601;bequem
10339;passform;515928;2602;passform
10340;tragekompfort;515928;2603;tragekompfort
10341;sitz;434886;2604;sitz
10342;schönes;553018;2605;schoenes
10343;material;434886;2606;material
10344;verdunkeln;9743730;2607;verdunkeln
10345;preis;655046;2608;preis
10346;qualität;9743730;2609;qualitaet
10347;schöne;1709054;261;schoene
10348;lässig;709229;2610;laessig
10349;qualität;8623725;2611;qualitaet
10350;edel;515928;2612;edel
10351;schlecht;434886;2613;schlecht
10352;superbequem;655046;2614;superbequem
10353;waschbar;515928;2615;waschbar
10354;schwarz;44970574;2616;schwarz
10355;passen;8623725;2617;passen
10356;gute;9743730;2618;gute
10357;handeln;9743730;2619;handeln
10358;qualität;8623725;262;qualitaet
10359;kaufe;655046;2620;kaufe
10360;passen;434886;2622;passen
10361;ausfallen;9743730;2623;ausfallen
10362;angenehm;654563;2624;angenehm
10363;sitzen;515928;2625;sitzen
10364;wunderschöner;515928;2626;wunderschoener
10365;verarbetiung;515928;2627;verarbetiung
10366;gardine;9743730;2628;gardine
10367;total;9743730;2629;total
10368;weiß;553018;263;weiss
10369;schwarz;553018;2630;schwarz
10370;schwaz;553018;2631;schwaz
10371;schlange;553018;2632;schlange
10372;passform;655046;2633;passform
10373;weichen;44970574;2634;weichen
10374;passform;709229;2635;passform
10375;bauchgrösse;434886;2636;bauchgroesse
10376;kaschieren;8623725;2637;kaschieren
10377;ging;654563;2638;ging
10378;bequem;709229;2639;bequem
10379;farbe;654563;264;farbe
10380;rot;553018;2640;rot
10381;beschreibung;9743730;2642;beschreibung
10382;guter;515928;2643;guter
10383;vorstellen;655046;2644;vorstellen
10384;material;654563;2645;material
10385;fällen;553018;2646;faellen
10386;letzter;553018;2647;letzter
10387;material;434886;2648;material
10388;löng;9743730;2649;loeng
10389;passform;8623725;265;passform
10390;tolle;434886;2650;tolle
10391;c;655046;2651;c
10392;tolle;9743730;2652;tolle
10393;hängen;709229;2653;haengen
10394;sitzt;654563;2654;sitzt
10395;kältebrücke;9743730;2655;kaeltebruecke
10396;besonders;709229;2656;besonders
10397;klein;654563;2657;klein
10398;beschreiben;654563;2658;beschreiben
10399;passt;654563;2659;passt
10400;passt;515928;266;passt
10401;gardine;9743730;2660;gardine
10402;passform;434886;2661;passform
10403;material;654563;2662;material
10404;voll;9743730;2663;voll
10405;tol;709229;2664;tol
10406;qualität;8623725;2665;qualitaet
10407;preis;1709054;2666;preis
10408;passform;434886;2667;passform
10409;top;9743730;2668;top
10410;ware;434886;2669;ware
10411;ordentlich;9743730;267;ordentlich
10412;verarbeitung;9743730;2670;verarbeitung
10413;schwanken;553018;2671;schwanken
10414;oft;434886;2672;oft
10415;grau;709229;2673;grau
10416;angemessenes;434886;2674;angemessenes
10417;qualität;9743730;2676;qualitaet
10418;sitzen;44970574;2677;sitzen
10419;kürzlich;9743730;2678;kuerzlich
10420;material;9743730;2679;material
10421;qualität;9743730;268;qualitaet
10422;prima;434886;2680;prima
10423;tragen;654563;2681;tragen
10424;lieben;709229;2682;lieben
10425;material;515928;2683;material
10426;wickeloptik;8623725;2684;wickeloptik
10427;tochter;553018;2685;tochter
10428;schuhen;553018;2686;schuhen
10429;leger;1709054;2687;leger
10430;sitzen;515928;2689;sitzen
10431;klassen;1709054;269;klassen
10432;neu;1709054;2690;neu
10433;material;9743730;2691;material
10434;deko;9743730;2692;deko
10435;beschreibung;9743730;2693;beschreibung
10436;prima;9743730;2694;prima
10437;qualität;434886;2695;qualitaet
10438;bequem;553018;2696;bequem
10439;stoffen;9743730;2697;stoffen
10440;shaped;8623725;2698;shaped
10441;größe;434886;2699;groesse
10442;vorhangen;9743730;270;vorhangen
10443;träger;654563;2700;traeger
10444;größe;1709054;2701;groesse
10445;modell;553018;2702;modell
10446;bereits;553018;2703;bereits
10447;unterschenkeln;44970574;2704;unterschenkeln
10448;preis;553018;2705;preis
10449;meinung;654563;2706;meinung
10450;schwarz;553018;2707;schwarz
10451;prima;434886;2708;prima
10452;nutt;553018;2709;nutt
10453;angenehm;655046;271;angenehm
10454;passt;8623725;2710;passt
10455;soweit;9743730;2711;soweit
10456;geld;655046;2712;geld
10457;label;655046;2713;label
10458;vorstellen;553018;2714;vorstellen
10459;angenehm;654563;2715;angenehm
10460;schwarz;553018;2716;schwarz
10461;bestellung;9743730;2717;bestellung
10462;eher;553018;2718;eher
